2022-01-04 19:00:44.815 | INFO     | __main__:<module>:54 - | Epoch 0 | batch 3840 | loss : 0.0020728476345539095|
2022-01-04 19:01:13.052 | INFO     | __main__:<module>:54 - | Epoch 0 | batch 3860 | loss : 0.0021243060808725307|
2022-01-04 19:01:41.202 | INFO     | __main__:<module>:54 - | Epoch 0 | batch 3880 | loss : 0.002135635159679295|
2022-01-04 19:02:09.428 | INFO     | __main__:<module>:54 - | Epoch 0 | batch 3900 | loss : 0.0021470544277093348|
2022-01-04 19:02:37.654 | INFO     | __main__:<module>:54 - | Epoch 0 | batch 3920 | loss : 0.0020805018288748605|
2022-01-04 19:03:05.888 | INFO     | __main__:<module>:54 - | Epoch 0 | batch 3940 | loss : 0.0020545255109138297|
2022-01-04 19:03:34.009 | INFO     | __main__:<module>:54 - | Epoch 0 | batch 3960 | loss : 0.0021021115659463287|
2022-01-04 19:04:02.238 | INFO     | __main__:<module>:54 - | Epoch 0 | batch 3980 | loss : 0.0020442838045819918|
2022-01-04 19:04:30.462 | INFO     | __main__:<module>:54 - | Epoch 0 | batch 4000 | loss : 0.001996968150138855|
2022-01-04 19:04:58.702 | INFO     | __main__:<module>:54 - | Epoch 0 | batch 4020 | loss : 0.002070718025093648|
2022-01-04 19:05:26.875 | INFO     | __main__:<module>:54 - | Epoch 0 | batch 4040 | loss : 0.0020015034345116944|
2022-01-04 19:05:55.112 | INFO     | __main__:<module>:54 - | Epoch 0 | batch 4060 | loss : 0.0020094563808347203|
2022-01-04 19:06:23.334 | INFO     | __main__:<module>:54 - | Epoch 0 | batch 4080 | loss : 0.0019483957804885565|
2022-01-04 19:06:51.661 | INFO     | __main__:<module>:54 - | Epoch 0 | batch 4100 | loss : 0.0020264553442233945|
2022-01-04 19:07:19.926 | INFO     | __main__:<module>:54 - | Epoch 0 | batch 4120 | loss : 0.0018887390210790543|
2022-01-04 19:07:48.080 | INFO     | __main__:<module>:54 - | Epoch 0 | batch 4140 | loss : 0.0020355911070597922|
2022-01-04 19:08:16.335 | INFO     | __main__:<module>:54 - | Epoch 0 | batch 4160 | loss : 0.0017955420108941886|
2022-01-04 19:08:44.410 | INFO     | __main__:<module>:54 - | Epoch 0 | batch 4180 | loss : 0.0019049710634222441|
2022-01-04 19:09:12.656 | INFO     | __main__:<module>:54 - | Epoch 0 | batch 4200 | loss : 0.001834195681980678|
2022-01-04 19:09:40.773 | INFO     | __main__:<module>:54 - | Epoch 0 | batch 4220 | loss : 0.0018868429400909568|
2022-01-04 19:10:09.004 | INFO     | __main__:<module>:54 - | Epoch 0 | batch 4240 | loss : 0.0019215176690299555|
2022-01-04 19:10:37.252 | INFO     | __main__:<module>:54 - | Epoch 0 | batch 4260 | loss : 0.0018103543581537238|
2022-01-04 19:11:05.486 | INFO     | __main__:<module>:54 - | Epoch 0 | batch 4280 | loss : 0.0018033145744109822|
2022-01-04 19:11:33.704 | INFO     | __main__:<module>:54 - | Epoch 0 | batch 4300 | loss : 0.0017664282820945563|
2022-01-04 19:12:01.941 | INFO     | __main__:<module>:54 - | Epoch 0 | batch 4320 | loss : 0.0018193513154983521|
2022-01-04 19:12:30.170 | INFO     | __main__:<module>:54 - | Epoch 0 | batch 4340 | loss : 0.001921318862844722|
2022-01-04 19:12:58.395 | INFO     | __main__:<module>:54 - | Epoch 0 | batch 4360 | loss : 0.0017501439523259434|
2022-01-04 19:13:26.681 | INFO     | __main__:<module>:54 - | Epoch 0 | batch 4380 | loss : 0.0018339207183280491|
2022-01-04 19:13:54.899 | INFO     | __main__:<module>:54 - | Epoch 0 | batch 4400 | loss : 0.0018068038333546033|
2022-01-04 19:14:23.142 | INFO     | __main__:<module>:54 - | Epoch 0 | batch 4420 | loss : 0.001824476708114417|
2022-01-04 19:14:51.230 | INFO     | __main__:<module>:54 - | Epoch 0 | batch 4440 | loss : 0.001747473617931744|
2022-01-04 19:15:19.360 | INFO     | __main__:<module>:54 - | Epoch 0 | batch 4460 | loss : 0.001662338474940826|
2022-01-04 19:15:47.612 | INFO     | __main__:<module>:54 - | Epoch 0 | batch 4480 | loss : 0.0017212661249297006|
